	CH2500	CH2502	CH2522	F1659
PA14_05160	207	212	307	239
PA14_05180,pilT	274	267	266	305
PA14_05190,pilU	260	261	126	294
PA14_05200,czcD	37	77	62	132
PA14_05210	33	79	46	96
PA14_05220	137	162	190	357
PA14_05230	162	192	248	272
PA14_05250,pyrC	179	270	311	214
PA14_05260,pyrB	269	293	355	351
PA14_05270,pyrR	61	63	78	107
PA14_05280,yqgF	60	65	71	77
PA14_05290,algH	149	187	234	154
PA14_05300	190	191	185	242
PA14_05310,gshB	193	313	311	292
PA14_05320,pilG	218	204	252	200
PA14_05330,pilH	226	179	215	214
PA14_05340,pilI	133	132	150	99
PA14_05360,pilJ	958	1001	1033	791
PA14_05380,pilK	154	188	197	118
PA14_05390,chpA	1823	2071	2235	1417
PA14_05400	218	232	248	157
PA14_05410,chpC	84	116	125	49
PA14_05420,chpD	43	49	51	62
PA14_05430,chpE	11	22	23	36
PA14_05440	141	224	269	178
PA14_05450	41	34	76	50
PA14_05460,bioA	233	363	361	359
PA14_05480	207	331	493	278
PA14_05500	174	202	260	162
PA14_05510,yceI	263	319	368	306
PA14_05520,mexR	165	168	123	151
PA14_05530,mexA	704	791	444	477
PA14_05540,mexB	1737	1899	1106	1101
PA14_05550,oprM	859	940	666	579
PA14_05560,rhlE	521	454	756	544
PA14_05580	222	282	423	281
PA14_05590,metF	110	98	250	183
PA14_05600	121	130	208	211
PA14_05620,sahH	602	621	932	756
PA14_05630	16	27	75	18
PA14_05640,bfrG	27	39	85	134
PA14_05650	32	45	26	89
PA14_05660	222	270	256	320
PA14_05690,codA	128	59	266	179
PA14_05700,codB	48	35	112	104
PA14_05740,pydA	6	32	12	123
PA14_05750,gltX	7	19	6	90
PA14_05770,dhT	29	79	20	130
PA14_05775	2	2	1	13
PA14_05790	12	29	25	114
PA14_05810,amaB	17	39	35	103
PA14_05820	110	245	71	160
PA14_05840,gcdH	367	584	220	528
PA14_05850	127	147	169	136
PA14_05860	179	218	234	264
PA14_05870	19	34	30	176
PA14_05880,nfeD	7	29	19	51
PA14_05890	12	30	25	62
PA14_05910	22	32	23	37
PA14_05920	91	189	175	287
PA14_05950,dbpA	102	179	161	257
PA14_05960,cspB	107	122	110	125
PA14_05970	10	17	10	34
PA14_05990,emrA	45	106	107	147
PA14_06000,clpA	115	1130	614	1419
PA14_06010	83	216	118	236
PA14_06030	166	252	318	251
PA14_06040	102	165	153	265
PA14_06060,creB	57	74	130	79
PA14_06070,creC	134	196	245	183
PA14_06080,creD	21	31	25	68
PA14_06090	4	3	3	38
PA14_06120	24	61	63	62
PA14_06130	23	75	83	42
PA14_06150	91	137	168	168
PA14_06160,fiuA	38	190	37	261
PA14_06170,fiuR	23	76	12	65
PA14_06180,fiuI	7	24	6	43
PA14_06190,psfA	112	172	179	127
PA14_06200	1	2	0	19
