	CH2500	CH2502	CH2522	F1659
PA14_30440	49	30	37	91
PA14_30450	50	91	154	107
PA14_30460	16	18	13	42
PA14_30470	41	35	33	112
PA14_30490	15	24	24	48
PA14_30500	12	33	28	24
PA14_30520	3	7	8	22
PA14_30540	6	2	5	20
PA14_30550,ssuA	25	18	11	34
PA14_30560	3	1	3	28
PA14_30570,potF	62	89	110	356
PA14_30580	26	35	20	279
PA14_30590	24	21	8	131
PA14_30600	5	14	8	45
PA14_30620	15	25	36	128
PA14_30630,pqsH	16	49	29	373
PA14_30650,gacA	165	253	272	307
PA14_30660,uvrC	192	281	301	384
PA14_30670,pgsA	147	177	237	166
PA14_30680	7	5	9	12
PA14_30690	140	0	0	134
PA14_30700	331	503	371	646
PA14_30710	147	217	256	150
PA14_30720	5	6	16	14
PA14_30730	235	447	507	371
PA14_30740,mdaB	7	21	23	30
PA14_30750	112	207	255	226
PA14_30760	46	74	71	101
PA14_30770	33	52	61	99
PA14_30790	21	22	59	38
PA14_30800	160	276	301	209
PA14_30810,alkB1	27	73	69	123
PA14_30820	58	340	140	320
PA14_30830	22	175	89	322
PA14_30840	67	183	85	355
PA14_30850,trbI	32	23	0	74
PA14_30860,trbG	18	9	0	43
PA14_30870,trbF	9	2	0	28
PA14_30880,trbL	10	8	0	53
PA14_30890	1	0	0	1
PA14_30900,trbJ	14	5	0	49
PA14_30910,trbE	40	13	0	114
PA14_30930,trbC	4	1	0	22
PA14_30940,trbB	10	7	0	13
PA14_30950	1	4	0	12
PA14_30960,traG	28	17	0	107
PA14_30970,bphR	119	52	0	67
PA14_30980	102	0	0	0
PA14_30990	36	0	0	0
PA14_31000	27	21	0	14
PA14_31010	226	295	0	460
PA14_31030	91	68	0	156
PA14_31040	79	55	0	136
PA14_31050	134	151	0	161
PA14_31060	119	131	0	142
PA14_31070	13	7	0	75
PA14_31080	0	3	0	26
PA14_31090	4	1	0	12
PA14_31100	7	1	0	17
PA14_31110	9	7	0	35
PA14_31130	8	6	0	7
PA14_31150	14	12	0	13
PA14_31160	54	4	0	10
PA14_31170	22	2	0	1
PA14_31180	40	12	0	48
PA14_31190	43	47	0	73
PA14_31200	10	12	2	56
PA14_31220	3	1	0	21
PA14_31230	14	1	1	29
PA14_31240	99	71	0	100
PA14_31250	0	1	0	16
PA14_31260	3	0	0	0
PA14_31270	20	2	0	0
PA14_31280	72	63	0	118
PA14_31290,pa1L	5	11	6	49
PA14_31300	90	110	76	112
PA14_31310	51	36	46	90
PA14_31330	19	325	298	161
PA14_31340	3	7	3	34
PA14_31350	19	51	105	72
PA14_31360	5	20	35	49
PA14_31370,tam	34	63	90	60
PA14_31380,sfpA	33	17	25	103
PA14_31390	27	173	133	106
PA14_31400,ctpH	49	66	120	162
PA14_31420	32	134	179	86
PA14_31430	21	13	19	47
PA14_31440	129	160	162	192
PA14_31450	4	11	10	15
PA14_31460	39	51	74	66
PA14_31470	431	673	375	343
PA14_31480	68	123	58	63
PA14_31500	312	605	412	455
PA14_31510	223	390	328	321
PA14_31530	316	715	569	483
PA14_31540,acdA	240	431	343	320
PA14_31560	100	128	158	164
PA14_31580	55	70	71	111
PA14_31610	86	56	92	151
PA14_31620	18	17	17	95
PA14_31630	17	23	36	62
PA14_31640	10	21	23	37
PA14_31650,xthA	152	140	251	218
PA14_31660	25	73	39	91
PA14_31680	164	195	268	212
PA14_31690	188	179	295	231
PA14_31700,pgsA	84	174	170	108
PA14_31720	61	261	274	153
PA14_31730	14	87	126	57
PA14_31740	37	81	125	54
PA14_31750	37	143	181	104
PA14_31760,cdsA	56	182	259	112
PA14_31770	24	32	43	56
PA14_31780	17	36	40	35
PA14_31800	272	211	276	247
PA14_31810,tpx	68	69	138	58
PA14_31820,hisC	7	9	12	36
PA14_31840	64	162	213	183
PA14_31850	145	282	370	290
PA14_31870	135	152	188	188
PA14_31890	109	133	183	252
PA14_31900	152	146	192	288
PA14_31920,opmB	83	155	146	149
PA14_31930	6	5	13	11
PA14_31950,cztS	15	17	55	94
PA14_31960,czrR	22	22	63	55
PA14_31970,czcC	0	6	6	35
PA14_31990,czcB	7	11	8	47
PA14_32015	6	8	16	77
PA14_32025	21	21	17	85
PA14_32060,xylS	11	31	12	44
PA14_32080,xylX	13	12	3	100
PA14_32100,xylY	4	6	2	51
PA14_32110,xylZ	2	6	17	23
PA14_32130,benD	1	4	10	23
PA14_32140,antC	2	4	2	22
PA14_32150,antB	7	7	6	70
PA14_32160,antA	12	15	15	112
PA14_32190	10	27	27	37
PA14_32200,catR	22	28	37	60
PA14_32220,catB	8	11	14	47
PA14_32230,catC	8	15	26	64
PA14_32240,catA	34	39	48	70
PA14_32250	1	6	0	24
PA14_32270,oprD3	36	35	26	121
PA14_32280	19	91	77	87
PA14_32290	38	48	124	42
PA14_32300	33	32	80	96
PA14_32310	37	67	71	64
PA14_32330	20	24	36	36
PA14_32340	6	5	6	10
PA14_32350	26	27	48	49
PA14_32360	14	23	33	22
PA14_32370	7	6	33	38
PA14_32380,oprN	17	17	41	149
PA14_32390,mexF	58	37	98	750
PA14_32400,mexE	10	12	46	331
PA14_32410,mexT	95	103	126	110
PA14_32420	209	319	327	400
PA14_32440	2	27	9	24
PA14_32450	18	53	31	52
PA14_32460	34	26	40	37
PA14_32470	6	6	16	15
PA14_32480	21	36	11	93
PA14_32490	51	81	33	148
PA14_32500	49	120	120	94
PA14_32520	44	54	65	98
PA14_32530	50	142	237	130
PA14_32540	29	95	172	149
PA14_32570	12	36	33	33
PA14_32580	19	27	43	39
PA14_32590,dipZ2	18	14	46	65
PA14_32600	25	16	27	79
PA14_32610,dsbG	42	49	77	143
PA14_32630	11	64	26	76
PA14_32640	8	5	2	70
PA14_32650	2	7	1	16
PA14_32660	5	3	3	35
PA14_32670	12	30	16	65
PA14_32690,gtdA	13	40	30	76
PA14_32700	32	42	63	45
PA14_32710	37	70	36	53
PA14_32720	23	38	19	33
PA14_32740,optS	53	92	56	220
PA14_32750	7	22	3	64
PA14_32770	19	45	58	61
PA14_32780	63	97	302	149
PA14_32790	779	127	3609	1294
PA14_32810	23	0	23	73
PA14_32820	91	0	40	18
PA14_32830	298	189	65	566
PA14_32840	147	73	18	145
PA14_32850	135	1	0	0
PA14_32860	89	64	70	61
PA14_32880	61	70	129	108
PA14_32890	38	53	83	49
PA14_32905	9	22	10	67
PA14_32930	13	41	50	33
PA14_32940	135	197	326	178
PA14_32950	21	37	36	80
PA14_32970	14	37	19	37
PA14_32985,gcvH2	64	148	73	90
PA14_33000,gcvP2	661	1396	532	1162
PA14_33010,glyA2	100	247	65	247
PA14_33030,sdaA	134	286	104	376
PA14_33040,gcvT2	95	179	81	155
PA14_33050	7	21	7	45
PA14_33060	4	10	8	15
PA14_33070	22	53	29	57
PA14_33080	11	12	18	21
PA14_33110	25	41	25	22
PA14_33120	117	115	78	116
PA14_33130	121	140	142	129
PA14_33150	43	47	32	43
PA14_33160	15	45	16	141
PA14_33170	34	56	52	86
PA14_33190	18	120	39	88
PA14_33200	5	20	7	21
PA14_33220	17	98	32	56
PA14_33230	2	4	7	15
PA14_33240	12	23	28	91
PA14_33250	1	0	1	15
PA14_33260,pvdS	5	13	7	65
PA14_33270,pvdG	1	4	1	20
PA14_33280,pvdL	22	52	87	367
PA14_33290	13	37	41	151
PA14_33300	113	231	164	0
PA14_33310	187	468	362	2
PA14_33320	194	470	325	2
PA14_33330	234	415	395	0
PA14_33340	276	534	497	3
PA14_33350	69	171	180	2
PA14_33360	65	60	48	25
PA14_33370	6	77	16	24
PA14_33380	4	5	5	67
PA14_33410,opdJ	7	12	16	90
PA14_33420	27	57	70	114
PA14_33430	14	12	38	58
PA14_33440	35	51	68	41
PA14_33450,treA	19	26	2	369
PA14_33460	4	5	9	61
PA14_33480,sndH	9	22	16	174
PA14_33500,pvdH	6	13	7	82
PA14_33510	4	4	1	21
PA14_33520	2	2	2	20
PA14_33530	19	57	94	136
PA14_33540	13	30	45	94
PA14_33550	5	5	30	53
PA14_33560	6	20	43	84
PA14_33570	5	12	41	43
PA14_33580	7	12	21	46
PA14_33590	24	32	67	149
PA14_33600	26	27	48	238
PA14_33610	199	113	154	843
PA14_33630,pvdJ	133	18	45	418
PA14_33650,pvdD	203	19	55	600
PA14_33680,fpvA	117	0	2	706
PA14_33690,pvdE	24	2	2	226
PA14_33700,pvdF	23	8	95	44
PA14_33710,pvdO	5	5	16	34
PA14_33720,pvdN	11	17	13	120
PA14_33730	14	8	30	111
PA14_33740,pvdP	16	13	32	107
PA14_33750,opmQ	15	16	40	45
PA14_33760	39	44	84	110
PA14_33770	37	40	88	120
PA14_33780	157	192	238	224
PA14_33800	40	16	59	65
PA14_33810,pvdA	18	12	40	112
PA14_33820,pvdQ	6	11	7	83
PA14_33830	2	1	2	21
PA14_33840	28	41	58	47
PA14_33860,lldA	110	45	63	103
PA14_33870	40	72	142	41
PA14_33880	9	22	12	10
PA14_33890,aldG	78	120	119	89
PA14_33900	152	312	259	237
PA14_33910	3	9	7	49
PA14_33920	3	9	2	17
PA14_33930	3	16	1	18
PA14_33940	7	12	10	17
PA14_33960	23	114	66	173
PA14_33970	19	123	0	160
PA14_33980	4	42	1	93
PA14_33990	19	197	62	265
PA14_34000	6	67	21	55
PA14_34010	9	161	46	123
PA14_34020	1	21	6	11
PA14_34030	17	165	52	139
PA14_34050	43	445	109	405
PA14_34070	19	131	50	158
PA14_34080	24	91	30	86
PA14_34100	30	149	80	110
PA14_34110	4	52	22	29
PA14_34130	40	277	147	224
PA14_34140	24	121	56	89
PA14_34150,sfnR	91	26	21	76
PA14_34170	3	12	7	7
PA14_34180,msuE	6	2	3	40
PA14_34190,msuD	3	7	1	24
PA14_34200,msuC	4	7	5	52
PA14_34210,sfnR	7	11	7	45
PA14_34230	38	58	73	74
PA14_34250	82	30	62	83
PA14_34260,metI-1	0	3	2	43
PA14_34270,metN-1	3	2	3	61
PA14_34280,metQ-l	7	2	5	51
PA14_34290	7	7	3	66
PA14_34300	7	3	6	39
PA14_34320	6	8	6	48
PA14_34330	31	77	70	130
PA14_34340,mtlZ	11	39	42	26
PA14_34350,mtlY	6	12	4	29
PA14_34360,mtlD	11	13	6	43
PA14_34370,mtlk	7	12	10	33
PA14_34390,mtlG	6	13	4	52
PA14_34410,mtlF	4	15	7	34
PA14_34420,mtlE	23	56	19	103
PA14_34440,mtlR	35	46	57	82
PA14_34450	39	51	100	60
PA14_34460	37	29	53	26
PA14_34490	42	32	59	28
PA14_34500	51	30	52	38
PA14_34510,srpL	40	26	29	60
PA14_34520,srpM	9	13	22	30
PA14_34540	22	25	12	69
PA14_34550	5	7	6	29
PA14_34580	8	15	12	65
PA14_34600,gapB	226	617	489	531
PA14_34610	4	6	6	28
PA14_34630,gnuT	39	24	61	217
PA14_34640,gntK	60	25	65	160
PA14_34660,gntR	96	152	229	201
PA14_34670	13	23	19	27
PA14_34680	81	52	64	137
PA14_34690	16	29	34	52
PA14_34700	1	5	3	10
PA14_34710	2	0	2	22
PA14_34720	17	21	17	65
PA14_34730	13	2	3	36
PA14_34740	7	1	1	1
PA14_34750,tauD	2	5	0	44
PA14_34770	5	12	1	38
PA14_34780	2	1	3	39
PA14_34790	5	5	1	40
PA14_34800	56	99	87	103
PA14_34810,mxaA	32	49	41	542
PA14_34820	4	9	5	187
PA14_34830	4	2	4	181
PA14_34840	21	37	47	644
PA14_34850	15	27	13	31
PA14_34870,chiC	12	18	19	103
PA14_34880	53	69	73	79
PA14_34900	72	120	124	175
PA14_34920	3	4	3	14
PA14_34930	8	7	8	14
PA14_34940	1	2	2	9
PA14_34960,opbA	534	579	552	281
PA14_34970,gcd	217	346	525	412
PA14_34990	99	158	223	278
PA14_35000	22	39	67	28
PA14_35010	9	4	11	31
PA14_35020	8	8	19	46
PA14_35030	8	12	31	45
PA14_35040	6	8	11	37
PA14_35050	4	20	18	42
PA14_35060	9	17	30	20
PA14_35070	56	61	128	70
PA14_35080,arsH	42	46	59	94
PA14_35100,arsC	15	15	34	54
PA14_35110,arsB	11	19	43	36
PA14_35130,arsR	6	8	16	31
PA14_35140	38	58	56	417
PA14_35150	5	7	13	354
PA14_35160	3	17	16	13
PA14_35170,soxR	18	23	41	23
PA14_35190,pbpC	98	146	147	211
PA14_35200	16	24	45	26
PA14_35210	50	70	100	73
PA14_35230	39	41	63	42
PA14_35240	2	8	7	18
PA14_35250	49	72	113	43
PA14_35270	32	36	59	106
PA14_35290,gnd	83	119	204	300
PA14_35300	60	84	130	150
PA14_35320,kguD	16	17	53	38
PA14_35330,kguT	11	10	37	64
PA14_35340,kguK	11	12	32	29
PA14_35360,kguE	6	1	26	25
PA14_35370,ptxS	50	94	170	90
PA14_35380,ptxR	7	6	12	37
PA14_35390,pvcD	2	2	0	17
PA14_35400,pvcC	4	9	3	45
PA14_35420,pvcB	3	1	4	12
PA14_35430,pvcA	4	7	2	61
PA14_35440,ansA	30	31	55	27
PA14_35460	7	20	13	76
PA14_35470	80	80	125	145
PA14_35490,lpdV	382	792	674	374
PA14_35500,bkdB	604	907	744	504
PA14_35520,bkdA2	468	623	507	364
PA14_35530,bkdA1	637	853	710	581
PA14_35540,bkdR	38	66	63	51
PA14_35550,pslO	2	0	2	5
PA14_35570,pslN	11	12	7	84
PA14_35590,pslM	3	7	10	28
PA14_35600,pslL	40	97	73	135
PA14_35620,pslK	22	89	47	84
PA14_35630,pslJ	25	96	58	96
PA14_35640,pslI	32	133	63	134
PA14_35650,pslH	41	188	128	152
PA14_35670,pslG	91	234	154	308
PA14_35680,pslF	80	271	184	226
PA14_35690,pslE	187	558	399	666
PA14_35700	56	0	0	0
PA14_35710	83	0	0	1
PA14_35720	157	0	0	1
PA14_35730	17	0	0	10
PA14_35740,tpnA	228	710	0	1024
PA14_35750,tpnC	7	45	0	51
PA14_35760	140	291	1	302
PA14_35770	159	448	2	383
PA14_35780	139	479	2	431
PA14_35790	374	1133	5	930
PA14_35800	355	690	0	651
PA14_35810	298	452	4	437
PA14_35820,tnpS	236	292	0	386
PA14_35830,tnpT	415	92	0	128
PA14_35840	208	1	2	0
PA14_35850	209	0	0	0
PA14_35860	21	19	11	83
PA14_35880	50	37	26	107
PA14_35890	25	28	18	53
PA14_35900	12	15	10	23
PA14_35920	15	40	21	120
PA14_35930	1	1	0	3
PA14_35940	10	33	4	88
PA14_35950	5	20	8	15
PA14_35970	1	25	9	63
PA14_35980	7	7	4	48
PA14_35990	9	14	10	64
PA14_36000,prpR	106	132	147	140
PA14_36010	92	73	86	154
PA14_36020	194	181	206	374
PA14_36030	28	11	24	67
PA14_36050	7	15	13	51
PA14_36060	10	19	12	41
PA14_36070	24	49	48	128
PA14_36080,yfaV	4	9	3	34
PA14_36090,opdG	9	3	3	30
PA14_36100,pdxA	10	19	12	30
PA14_36110	9	17	9	34
PA14_36120	14	16	6	69
PA14_36130	17	18	10	84
PA14_36150	1	1	0	16
PA14_36170	7	12	1	70
PA14_36180	24	39	29	69
PA14_36190	12	10	10	40
PA14_36200	332	150	355	189
PA14_36220,gltJ	12	5	24	35
PA14_36230,glnP	21	9	22	31
PA14_36250	56	97	96	77
PA14_36260	12	25	41	62
PA14_36270	121	155	228	239
PA14_36280	41	48	64	85
PA14_36290,yncB	21	54	93	96
PA14_36300	39	40	72	84
PA14_36310,hcnC	19	48	37	122
PA14_36320,hcnB	22	43	56	136
PA14_36330,hcnA	3	13	21	14
PA14_36345,exoY	372	64	76	188
PA14_36350	10	24	13	78
PA14_36360	9	13	7	62
PA14_36370	7	6	4	37
PA14_36375	10	26	16	235
PA14_36390	1	6	2	68
PA14_36400	0	3	1	10
PA14_36410	3	1	1	26
PA14_36420	85	172	86	342
PA14_36450	11	28	11	83
PA14_36460	32	15	6	131
PA14_36470	11	22	6	59
PA14_36480	8	1	3	80
PA14_36490	8	9	8	56
PA14_36500	13	27	9	174
PA14_36520	34	44	16	242
PA14_36530	16	12	5	203
PA14_36540	9	8	4	66
PA14_36550	29	67	10	193
PA14_36560	33	9	5	147
PA14_36570,glgA	25	23	9	338
PA14_36580,glgB	31	26	7	444
PA14_36590,malQ	11	17	5	282
PA14_36605	22	23	7	460
PA14_36620	12	7	1	124
PA14_36630,glgX	40	47	17	661
PA14_36650	12	9	3	134
PA14_36660	10	11	18	162
PA14_36670	2	6	5	64
PA14_36680	6	2	3	29
PA14_36690,ybhO	2	5	2	58
PA14_36700	2	2	1	55
PA14_36710,glgB	17	27	15	312
PA14_36730	46	75	27	771
PA14_36740	36	40	13	434
PA14_36760	13	28	8	217
PA14_36770	1	11	2	47
PA14_36780	5	13	5	85
PA14_36790	2	6	0	47
PA14_36810,katE	24	21	7	725
PA14_36820	11	19	3	142
PA14_36830	5	1	6	34
PA14_36840,glgP	43	64	24	673
PA14_36850	15	23	5	128
PA14_36860	1	12	4	19
PA14_36870	18	20	8	202
PA14_36880	5	3	2	75
PA14_36890	4	3	0	23
PA14_36900	2	3	1	28
PA14_36910,ligD	45	21	16	374
PA14_36920	19	9	9	150
PA14_36930	1	6	2	26
PA14_36940	8	8	3	56
PA14_36960	2	3	2	42
PA14_36980	24	21	8	199
PA14_36990	1	7	6	15
PA14_37000,cupA5	5	9	8	41
PA14_37010,cupA4	6	17	18	79
PA14_37030,cupA3	7	24	32	132
PA14_37040,cupA2	4	5	12	24
PA14_37060,cupA1	6	31	67	29
PA14_37070	126	330	337	192
PA14_37080	19	105	96	47
PA14_37090,gbsA	6	12	14	40
PA14_37100	11	16	6	69
PA14_37120	10	43	43	45
PA14_37130	28	46	57	100
PA14_37140	20	50	75	69
PA14_37150	4	8	4	11
PA14_37170	8	7	6	25
PA14_37190,ada	42	69	102	32
PA14_37200	40	106	113	74
PA14_37210	115	482	226	134
PA14_37220	31	104	80	62
PA14_37250	209	742	342	167
PA14_37260,opdO	187	577	289	187
PA14_37270	132	456	267	100
PA14_37290	86	304	208	55
PA14_37310	81	335	347	36
PA14_37320	26	64	0	21
PA14_37340	21	23	0	137
PA14_37350	2	14	40	26
PA14_37360	4	4	6	25
PA14_37370	10	4	6	15
PA14_37380	22	22	12	53
PA14_37400	12	15	28	49
PA14_37410	9	36	17	42
PA14_37420	3	3	6	14
PA14_37430	19	23	22	44
PA14_37440	8	9	12	28
PA14_37460	9	5	1	20
PA14_37470	11	8	5	21
PA14_37490	46	25	30	134
PA14_37510	6	4	8	21
PA14_37520	14	5	6	13
PA14_37530	16	5	6	44
PA14_37550	9	1	1	10
PA14_37560,asnB	33	9	9	33
PA14_37570	55	33	48	115
PA14_37580,lrp	69	88	94	73
PA14_37590,kynB	43	171	58	119
PA14_37610	61	241	79	226
PA14_37630	21	59	13	64
PA14_37640	10	8	6	114
PA14_37650	9	19	5	56
PA14_37660	20	38	38	101
PA14_37670	53	67	8	65
PA14_37680	49	79	31	108
PA14_37690	22	146	30	250
PA14_37710,fusA2	217	597	289	747
PA14_37730	16	15	14	132
PA14_37745	3	13	5	77
PA14_37760	9	10	14	37
PA14_37770	5	6	7	17
PA14_37780	5	13	2	29
PA14_37790,pcoA	130	29	10	1086
PA14_37810,pcoB	33	7	7	498
PA14_37820	34	36	95	25
PA14_37830,iscS	45	43	31	40
PA14_37840	16	28	18	45
PA14_37850,yejE	1	5	4	29
PA14_37870	2	3	2	38
PA14_37880	3	7	3	51
PA14_37900	15	28	6	146
PA14_37910	39	41	75	40
PA14_37915	10	10	9	19
PA14_37940,cynR	14	27	41	18
PA14_37950,cynT	4	10	3	34
PA14_37965,cynS	17	26	32	55
PA14_37980	1	1	3	9
PA14_37990	6	2	6	20
PA14_38000	14	25	34	11
PA14_38010	40	92	123	88
PA14_38020	7	22	16	162
PA14_38040	37	75	44	429
PA14_38050	1	7	4	28
PA14_38060	10	17	31	28
PA14_38080	322	378	413	373
PA14_38090	23	37	45	24
PA14_38110,ygjU	202	170	430	156
PA14_38130,ycjJ	75	87	57	125
PA14_38140	302	312	363	336
PA14_38160,azlC	33	87	56	72
PA14_38170	19	54	40	36
PA14_38180	315	0	282	1
PA14_38190	23	81	9	106
PA14_38200,ilvG	37	75	63	96
PA14_38210	6	9	8	7
PA14_38220	11	15	10	29
PA14_38250,yjiR	78	83	174	88
PA14_38260	7	20	20	33
PA14_38270	4	6	13	25
PA14_38290	7	24	29	26
PA14_38300,grp	32	59	47	118
PA14_38310	7	6	5	36
PA14_38320,yfeH	19	31	25	41
PA14_38330,gor	245	489	438	390
PA14_38340	6	54	13	39
PA14_38350,galU	324	326	451	526
PA14_38360,ugd	34	50	74	123
PA14_38370	5	7	6	16
PA14_38380,amrR	72	201	222	152
PA14_38395	35	474	640	322
PA14_38410,amrB	93	918	1462	952
PA14_38420	17	27	29	63
PA14_38430,gnyR	283	317	315	350
PA14_38440,gnyD	704	836	690	708
PA14_38460,gnyB	663	857	582	715
PA14_38470,gnyH	258	418	292	363
PA14_38480,gnyA	625	1041	796	720
PA14_38490,gnyL	204	304	270	279
PA14_38500	77	132	135	100
PA14_38510,hmgA	403	654	516	611
PA14_38530,fahA	360	646	492	542
PA14_38550,maiA	226	396	257	296
PA14_38560,pcaK	40	53	36	105
PA14_38570	44	49	90	80
PA14_38580	103	234	217	155
PA14_38590,bdhA	54	180	204	112
PA14_38610	203	237	132	135
PA14_38630,atoB	401	578	394	302
PA14_38640,scoB	302	387	307	251
PA14_38660,scoA	395	489	447	360
PA14_38680	24	29	32	49
PA14_38690,acsA	128	276	206	119
PA14_38700,ppiC1	30	34	29	31
PA14_38710	13	21	23	18
PA14_38720	23	55	49	44
PA14_38730,yhhS	8	11	18	35
PA14_38740	155	162	128	154
PA14_38750	72	73	81	91
PA14_38770	53	119	104	219
PA14_38780,pqqE	52	135	86	210
PA14_38790,pqqD	23	56	39	82
PA14_38800,pqqC	41	158	97	190
PA14_38820,pqqB	65	191	123	246
PA14_38825,pqqA	11	29	17	38
PA14_38840,exaC	434	698	729	567
PA14_38850,exaB	1	7	1	18
PA14_38860,exaA	15	21	15	133
PA14_38880	5	12	3	7
PA14_38900,exaE	4	9	4	38
PA14_38910,exaD	6	26	6	11
PA14_38920	1	8	1	16
PA14_38930,glpR	29	60	34	95
PA14_38950	0	4	2	1
PA14_38970	16	84	66	121
PA14_38990	21	46	40	77
PA14_39000	12	11	8	121
PA14_39010,pqqF	73	127	141	95
PA14_39020	12	12	14	79
PA14_39050,braZ	8	8	15	65
PA14_39060	3	3	3	15
PA14_39070	54	103	139	70
PA14_39080	54	85	89	82
PA14_39090	99	236	202	64
PA14_39100	31	3	17	23
PA14_39110	16	14	25	20
PA14_39130,ybiT	229	146	246	215
PA14_39140	12	16	13	9
PA14_39150,acpD	10	8	16	26
PA14_39160	34	50	51	71
PA14_39180	7	19	26	23
PA14_39190,bacA	46	62	107	82
PA14_39200	25	49	52	44
PA14_39210,nadR	9	17	23	31
PA14_39220	1	1	1	9
PA14_39230	5	3	2	13
PA14_39240	25	36	19	109
PA14_39250	3	4	3	25
PA14_39260	6	4	0	36
PA14_39270	15	120	27	151
PA14_39280,rbsK	131	232	193	179
PA14_39300,rbsR	163	254	190	159
PA14_39320,rbsC	127	191	106	184
PA14_39330,rbsA	226	299	142	242
PA14_39350,rbsB	392	358	262	412
PA14_39360	29	83	49	52
PA14_39390	111	327	195	328
PA14_39410	40	106	67	132
PA14_39420	23	43	29	83
PA14_39440	167	480	462	254
PA14_39460	78	199	188	192
PA14_39470	233	4	4	1
PA14_39480	383	1	1	1
PA14_39500	31	37	53	36
PA14_39520	44	52	19	378
PA14_39530	26	31	8	222
PA14_39540	12	12	8	84
PA14_39560	28	215	31	333
PA14_39570	5	11	15	4
PA14_39580,rimJ	18	29	30	32
PA14_39590,metE	29	26	34	131
PA14_39610	167	154	267	169
PA14_39620	7	5	5	62
PA14_39630	0	2	3	10
PA14_39640,cobN	12	8	7	73
PA14_39650,cirA	9	6	7	49
PA14_39660	8	12	3	39
PA14_39670	2	0	0	1
PA14_39690,nrdD	71	193	237	203
PA14_39700	36	43	47	22
PA14_39710,nrdG	9	27	36	21
PA14_39720	5	8	8	60
PA14_39730	4	2	5	34
PA14_39750	7	7	5	60
PA14_39770	72	151	110	154
PA14_39780,hvn	22	10	10	126
PA14_39790	44	187	291	45
PA14_39800	36	80	74	61
PA14_39810	4	42	19	22
PA14_39820,ufrA	16	38	27	147
PA14_39830	7	12	20	53
PA14_39850	2	11	5	26
PA14_39860	14	12	6	68
PA14_39870,apaH	11	14	32	20
PA14_39880,phzG2	6	13	8	50
PA14_39890,phzF2	11	19	8	47
PA14_39910,phzE2	12	23	11	123
PA14_39925,phzD2	2	6	12	19
PA14_39945,phzC2	8	14	8	45
PA14_39960,phzB2	14	50	12	85
PA14_39970,phzA2	6	26	6	43
PA14_39980,qscR	37	23	17	118
PA14_39990	6	9	6	121
PA14_40010	6	10	5	89
PA14_40020	12	27	11	235
PA14_40030	12	13	8	127
PA14_40040	5	19	5	144
PA14_40050	2	13	0	63
PA14_40060	1	1	0	5
PA14_40070	35	105	105	60
PA14_40080	26	47	34	68
PA14_40100	16	0	1	154
PA14_40110	6	0	1	60
PA14_40120,polB	71	165	158	117
PA14_40130	18	92	33	51
PA14_40150	31	71	43	17
PA14_40160,nuoA	17	9	7	34
PA14_40170,sugE	3	4	2	19
PA14_40180	30	127	49	400
PA14_40200	48	333	134	1383
PA14_40210	3	8	8	38
PA14_40220	7	17	23	41
PA14_40230	23	39	21	77
PA14_40240	32	20	19	76
PA14_40250,opmL	35	22	17	76
PA14_40260	171	85	85	276
PA14_40270	4	2	1	24
PA14_40280	95	180	169	121
PA14_40290,lasA	11	19	11	146
PA14_40300	9	27	5	82
PA14_40310	2	5	3	23
PA14_40320,xqhA	21	16	12	141
PA14_40330	19	3	4	23
PA14_40340	15	14	26	19
PA14_40350	47	56	61	97
PA14_40370	57	107	98	106
PA14_40380	14	13	9	25
PA14_40390,modA	68	99	236	99
PA14_40410,modB	27	29	87	58
PA14_40420,modC	54	71	135	91
PA14_40430	12	36	24	81
PA14_40440	64	66	135	87
PA14_40450,str	53	61	84	82
PA14_40470	45	0	0	95
PA14_40490,yedI	57	87	122	124
PA14_40510,ccoN-2	54	52	84	152
PA14_40520	2	2	3	1
PA14_40540	2	9	9	40
PA14_40550	42	50	81	72
PA14_40560	33	67	72	82
PA14_40570	23	52	20	39
PA14_40600	19	32	31	39
PA14_40610	0	3	6	0
PA14_40620	6	16	17	40
PA14_40630,yhgI	219	252	325	231
PA14_40640,cti	234	257	463	312
PA14_40650	26	35	58	75
PA14_40660	1	3	0	17
PA14_40670,metH	418	640	677	791
PA14_40690	26	37	45	53
PA14_40700	22	20	53	39
PA14_40710	62	47	114	71
PA14_40730	109	48	141	107
PA14_40740	38	58	10	71
PA14_40750	14	67	22	55
PA14_40770,cysI	597	185	550	350
PA14_40780	78	22	72	45
PA14_40790	15	19	27	44
PA14_40800	16	21	30	49
PA14_40820	4	17	28	38
PA14_40830,yhfP	144	327	360	220
PA14_40840,sohB	247	352	396	395
PA14_40850,gpmA	101	140	184	152
PA14_40860	96	134	134	122
PA14_40880	184	274	246	317
PA14_40890	93	171	157	211
PA14_40900	7	13	14	22
PA14_40910	17	56	42	65
PA14_40930	25	54	66	40
PA14_40940	8	10	27	20
PA14_40950,nudC	215	226	259	222
PA14_40960,fimL	403	439	490	359
PA14_40980	280	315	340	268
PA14_41000,nhaB	98	158	181	135
PA14_41010	133	230	200	202
PA14_41020,adi	573	713	660	578
PA14_41030	66	153	84	107
PA14_41050,dnaQ	66	78	129	68
PA14_41060,rnhA	97	114	149	112
PA14_41070	139	191	218	174
PA14_41080	70	131	92	151
PA14_41090,mltD	523	591	813	600
PA14_41110	253	379	327	410
PA14_41130	287	516	456	459
PA14_41140	124	198	225	228
PA14_41150	94	147	231	172
PA14_41160	270	334	473	411
